Session,Exp,Set
293_FED_20150619a_3T2_PL2017,langlocSN,Language
294_FED_20150619b_3T2_PL2017,langlocSN,Language
295_FED_20150625a_3T2_PL2017,langlocSN,Language
296_FED_20150810a_3T1_PL2017,langlocSN,Language
296_FED_20150625b_3T2_PL2017,langlocSN,Language
297_FED_20150625c_3T2_PL2017,langlocSN,Language
298_FED_20150625d_3T2_PL2017,langlocSN,Language
298_FED_20150810b_3T1_PL2017,langlocSN,Language
299_FED_20150708a_3T2_PL2017,langlocSN,Language
300_FED_20150708b_3T2_PL2017,langlocSN,Language
301_FED_20150708c_3T2_PL2017,langlocSN,Language
302_FED_20150709a_3T2_PL2017,langlocSN,Language
303_FED_20150709c_3T2_PL2017,langlocSN,Language
304_FED_20150710a_3T2_PL2017,langlocSN,Language
305_FED_20150710b_3T2_PL2017,langlocSN,Language
306_FED_20150715a_3T2_PL2017,langlocSN,Language
307_FED_20150715d_3T2_PL2017,langlocSN,Language
308_FED_20150716a_3T2_PL2017,langlocSN,Language
309_FED_20150717a_3T2_PL2017,langlocSN,Language
310_FED_20150617a_3T2_PL2017,langlocSN,Language
311_FED_20150617b_3T2_PL2017,langlocSN,Language
312_FED_20170925a_3T2_PL2017,langlocSN,Language
318_FED_20191106d_3T2_PL2017,langlocSN,Language
319_FED_20150624a_3T2_PL2017,langlocSN,Language
320_POLY05_20160425_3T1_PL2017,langlocSN,Language
320_FED_20150624c_3T2_PL2017,langlocSN,Language
321_FED_20150819a_3T1_PL2017,langlocSN,Language
322_FED_20150820a_3T2_PL2017,langlocSN,Language
323_FED_20150823_3T2_PL2017,langlocSN,Language
324_FED_20150827a_3T2_PL2017,langlocSN,Language
325_FED_20150827b_3T2_PL2017,langlocSN,Language
326_FED_20170923a_3T2_PL2017,langlocSN,Language
326_FED_20150828c_3T2_PL2017,langlocSN,Language
326_FED_20160523e_3T2_PL2017,langlocSN,Language
327_FED_20150923b_3T2_PL2017,langlocSN,Language
328_FED_20151106b_3T1_PL2017,langlocSN,Language
329_FED_20151109a_3T1_PL2017,langlocSN,Language
330_FED_20151111a_3T1_PL2017,langlocSN,Language
331_FED_20151111c_3T1_PL2017,langlocSN,Language
332_FED_20151113a_3T1_PL2017,langlocSN,Language
333_FED_20151119a_3T1_PL2017,langlocSN,Language
334_FED_20151119a_3T2_PL2017,langlocSN,Language
335_FED_20151120a_3T1_PL2017,langlocSN,Language
336_FED_20151212_3T1_PL2017,langlocSN,Language
337_FED_20151215a_3T1_PL2017,langlocSN,Language
338_FED_20170113b_3T2_PL2017,langlocSN,Language
338_FED_20170614b_3T2_PL2017,langlocSN,Language
338_FED_20160112a_3T2_PL2017,langlocSN,Language
338_FED_20151215c_3T2_PL2017,langlocSN,Language
339_FED_20151217a_3T2_PL2017,langlocSN,Language
340_FED_20151217b_3T2_PL2017,langlocSN,Language
341_FED_20151217c_3T2_PL2017,langlocSN,Language
342_FED_20160105c_3T2_PL2017,langlocSN,Language
343_FED_20160107a_3T2_PL2017,langlocSN,Language
344_FED_20160107e_3T2_PL2017,langlocSN,Language
345_FED_20160112b_3T2_PL2017,langlocSN,Language
346_FED_20160112e_3T2_PL2017,langlocSN,Language
347_FED_20160114e_3T2_PL2017,langlocSN,Language
348_FED_20160119c_3T2_PL2017,langlocSN,Language
349_FED_20160119d_3T2_PL2017,langlocSN,Language
350_FED_20160121c_3T2_PL2017,langlocSN,Language
351_FED_20160126a_3T2_PL2017,langlocSN,Language
352_FED_20160126e_3T2_PL2017,langlocSN,Language
353_FED_20160127a_3T1_PL2017,langlocSN,Language
354_FED_20160128d_3T2_PL2017,langlocSN,Language
355_FED_20160128e_3T2_PL2017,langlocSN,Language
